,student,vak,activiteit,zaal,dag,tijdslot
0,14309255,Compilerbouw,H1,C0.110,ma,9
1,2317551,Compilerbouw,H1,C0.110,ma,9
2,1695839,Compilerbouw,H1,C0.110,ma,9
3,38499176,Compilerbouw,H1,C0.110,ma,9
4,79033175,Compilerbouw,H1,C0.110,ma,9
5,72895450,Compilerbouw,H1,C0.110,ma,9
6,88596522,Compilerbouw,H1,C0.110,ma,9
7,88855695,Compilerbouw,H1,C0.110,ma,9
8,24613625,Compilerbouw,H1,C0.110,ma,9
9,73236988,Compilerbouw,H1,C0.110,ma,9
10,13284244,Compilerbouw,H1,C0.110,ma,9
11,64418623,Compilerbouw,H1,C0.110,ma,9
12,88636924,Compilerbouw,H1,C0.110,ma,9
13,68315599,Compilerbouw,H1,C0.110,ma,9
14,39459642,Compilerbouw,H1,C0.110,ma,9
15,26406342,Compilerbouw,H1,C0.110,ma,9
16,84524083,Compilerbouw,H1,C0.110,ma,9
17,8464817,Compilerbouw,H1,C0.110,ma,9
18,65960683,Compilerbouw,H1,C0.110,ma,9
19,2079771,Compilerbouw,H1,C0.110,ma,9
20,11915563,Compilerbouw,H1,C0.110,ma,9
21,75664412,Compilerbouw,H1,C0.110,ma,9
22,7957843,Compilerbouw,H1,C0.110,ma,9
23,11459236,Compilerbouw,H1,C0.110,ma,9
24,57595888,Compilerbouw,H1,C0.110,ma,9
25,12077419,Compilerbouw,H1,C0.110,ma,9
26,5595824,Compilerbouw,H1,C0.110,ma,9
27,34243356,Compilerbouw,H1,C0.110,ma,9
28,27187154,Compilerbouw,H1,C0.110,ma,9
29,44391517,Compilerbouw,H1,C0.110,ma,9
30,47260040,Compilerbouw,H1,C0.110,ma,9
31,42297781,Compilerbouw,H1,C0.110,ma,9
32,88752563,Compilerbouw,H1,C0.110,ma,9
33,535689,Compilerbouw,H1,C0.110,ma,9
34,65675896,Compilerbouw,H1,C0.110,ma,9
35,23215240,Compilerbouw,H1,C0.110,ma,9
36,55103073,Compilerbouw,H1,C0.110,ma,9
37,86291592,Compilerbouw,H1,C0.110,ma,9
38,9067939,Compilerbouw,H1,C0.110,ma,9
39,30658799,Compilerbouw,H1,C0.110,ma,9
40,50143947,Compilerbouw,H1,C0.110,ma,9
41,76661016,Compilerbouw,H1,C0.110,ma,9
42,48308205,Compilerbouw,H1,C0.110,ma,9
43,91250534,Compilerbouw,H1,C0.110,ma,9
44,1665980,Compilerbouw,H1,C0.110,ma,9
45,80135353,Compilerbouw,H1,C0.110,ma,9
46,53202517,Compilerbouw,H1,C0.110,ma,9
47,60312776,Compilerbouw,H1,C0.110,ma,9
48,94687383,Compilerbouw,H1,C0.110,ma,9
49,95631564,Compilerbouw,H1,C0.110,ma,9
50,5368702,Compilerbouw,H1,C0.110,ma,9
51,32204977,Compilerbouw,H1,C0.110,ma,9
52,6723948,Compilerbouw,H1,C0.110,ma,9
53,37770881,Compilerbouw,H1,C0.110,ma,9
54,41644639,Compilerbouw,H1,C0.110,ma,9
55,5085194,Compilerbouw,H1,C0.110,ma,9
56,4568018,Compilerbouw,H1,C0.110,ma,9
57,77896638,Compilerbouw,H1,C0.110,ma,9
58,75599734,Compilerbouw,H1,C0.110,ma,9
59,63634350,Compilerbouw,H1,C0.110,ma,9
60,40791377,Compilerbouw,H1,C0.110,ma,9
61,5892092,Compilerbouw,H1,C0.110,ma,9
62,66701209,Compilerbouw,H1,C0.110,ma,9
63,13911001,Compilerbouw,H1,C0.110,ma,9
64,65852230,Compilerbouw,H1,C0.110,ma,9
65,1766560,Compilerbouw,H1,C0.110,ma,9
66,54772132,Compilerbouw,H1,C0.110,ma,9
67,14138904,Compilerbouw,H1,C0.110,ma,9
68,42778953,Compilerbouw,H1,C0.110,ma,9
69,11068043,Compilerbouw,H1,C0.110,ma,9
70,92665222,Compilerbouw,H1,C0.110,ma,9
71,98105190,Compilerbouw,H1,C0.110,ma,9
72,3407554,Compilerbouw,H1,C0.110,ma,9
73,79167252,Compilerbouw,H1,C0.110,ma,9
74,44151631,Compilerbouw,H1,C0.110,ma,9
75,34872117,Compilerbouw,H1,C0.110,ma,9
76,86988337,Compilerbouw,H1,C0.110,ma,9
77,58522654,Compilerbouw,H1,C0.110,ma,9
78,53585410,Compilerbouw,H1,C0.110,ma,9
79,11741347,Compilerbouw,H1,C0.110,ma,9
80,48503689,Compilerbouw,H1,C0.110,ma,9
81,51673172,Compilerbouw,H1,C0.110,ma,9
82,83266686,Compilerbouw,H1,C0.110,ma,9
83,15911353,Compilerbouw,H1,C0.110,ma,9
84,14383795,Compilerbouw,H1,C0.110,ma,9
85,10792879,Compilerbouw,H1,C0.110,ma,9
86,99272880,Compilerbouw,H1,C0.110,ma,9
87,81385263,Compilerbouw,H1,C0.110,ma,9
88,72665524,Compilerbouw,H1,C0.110,ma,9
89,76802764,Compilerbouw,H1,C0.110,ma,9
90,75759231,Compilerbouw,H1,C0.110,ma,9
91,71839156,Compilerbouw,H1,C0.110,ma,9
92,72796858,Compilerbouw,H1,C0.110,ma,9
93,51472074,Compilerbouw,H1,C0.110,ma,9
94,74361881,Compilerbouw,H1,C0.110,ma,9
95,82066165,Compilerbouw,H1,C0.110,ma,9
96,95007221,Compilerbouw,H1,C0.110,ma,9
97,43689934,Compilerbouw,H1,C0.110,ma,9
98,14303208,Compilerbouw,H1,C0.110,ma,9
99,25994016,Compilerbouw,H1,C0.110,ma,9
100,34110913,Compilerbouw,H1,C0.110,ma,9
101,31194811,Compilerbouw,H1,C0.110,ma,9
102,49683101,Compilerbouw,H1,C0.110,ma,9
103,89985072,Compilerbouw,H1,C0.110,ma,9
104,46989508,Compilerbouw,H1,C0.110,ma,9
105,27950803,Compilerbouw,H1,C0.110,ma,9
106,52715680,Compilerbouw,H1,C0.110,ma,9
107,14309255,Compilerbouw,H2,C0.110,di,9
108,2317551,Compilerbouw,H2,C0.110,di,9
109,1695839,Compilerbouw,H2,C0.110,di,9
110,38499176,Compilerbouw,H2,C0.110,di,9
111,79033175,Compilerbouw,H2,C0.110,di,9
112,72895450,Compilerbouw,H2,C0.110,di,9
113,88596522,Compilerbouw,H2,C0.110,di,9
114,88855695,Compilerbouw,H2,C0.110,di,9
115,24613625,Compilerbouw,H2,C0.110,di,9
116,73236988,Compilerbouw,H2,C0.110,di,9
117,13284244,Compilerbouw,H2,C0.110,di,9
118,64418623,Compilerbouw,H2,C0.110,di,9
119,88636924,Compilerbouw,H2,C0.110,di,9
120,68315599,Compilerbouw,H2,C0.110,di,9
121,39459642,Compilerbouw,H2,C0.110,di,9
122,26406342,Compilerbouw,H2,C0.110,di,9
123,84524083,Compilerbouw,H2,C0.110,di,9
124,8464817,Compilerbouw,H2,C0.110,di,9
125,65960683,Compilerbouw,H2,C0.110,di,9
126,2079771,Compilerbouw,H2,C0.110,di,9
127,11915563,Compilerbouw,H2,C0.110,di,9
128,75664412,Compilerbouw,H2,C0.110,di,9
129,7957843,Compilerbouw,H2,C0.110,di,9
130,11459236,Compilerbouw,H2,C0.110,di,9
131,57595888,Compilerbouw,H2,C0.110,di,9
132,12077419,Compilerbouw,H2,C0.110,di,9
133,5595824,Compilerbouw,H2,C0.110,di,9
134,34243356,Compilerbouw,H2,C0.110,di,9
135,27187154,Compilerbouw,H2,C0.110,di,9
136,44391517,Compilerbouw,H2,C0.110,di,9
137,47260040,Compilerbouw,H2,C0.110,di,9
138,42297781,Compilerbouw,H2,C0.110,di,9
139,88752563,Compilerbouw,H2,C0.110,di,9
140,535689,Compilerbouw,H2,C0.110,di,9
141,65675896,Compilerbouw,H2,C0.110,di,9
142,23215240,Compilerbouw,H2,C0.110,di,9
143,55103073,Compilerbouw,H2,C0.110,di,9
144,86291592,Compilerbouw,H2,C0.110,di,9
145,9067939,Compilerbouw,H2,C0.110,di,9
146,30658799,Compilerbouw,H2,C0.110,di,9
147,50143947,Compilerbouw,H2,C0.110,di,9
148,76661016,Compilerbouw,H2,C0.110,di,9
149,48308205,Compilerbouw,H2,C0.110,di,9
150,91250534,Compilerbouw,H2,C0.110,di,9
151,1665980,Compilerbouw,H2,C0.110,di,9
152,80135353,Compilerbouw,H2,C0.110,di,9
153,53202517,Compilerbouw,H2,C0.110,di,9
154,60312776,Compilerbouw,H2,C0.110,di,9
155,94687383,Compilerbouw,H2,C0.110,di,9
156,95631564,Compilerbouw,H2,C0.110,di,9
157,5368702,Compilerbouw,H2,C0.110,di,9
158,32204977,Compilerbouw,H2,C0.110,di,9
159,6723948,Compilerbouw,H2,C0.110,di,9
160,37770881,Compilerbouw,H2,C0.110,di,9
161,41644639,Compilerbouw,H2,C0.110,di,9
162,5085194,Compilerbouw,H2,C0.110,di,9
163,4568018,Compilerbouw,H2,C0.110,di,9
164,77896638,Compilerbouw,H2,C0.110,di,9
165,75599734,Compilerbouw,H2,C0.110,di,9
166,63634350,Compilerbouw,H2,C0.110,di,9
167,40791377,Compilerbouw,H2,C0.110,di,9
168,5892092,Compilerbouw,H2,C0.110,di,9
169,66701209,Compilerbouw,H2,C0.110,di,9
170,13911001,Compilerbouw,H2,C0.110,di,9
171,65852230,Compilerbouw,H2,C0.110,di,9
172,1766560,Compilerbouw,H2,C0.110,di,9
173,54772132,Compilerbouw,H2,C0.110,di,9
174,14138904,Compilerbouw,H2,C0.110,di,9
175,42778953,Compilerbouw,H2,C0.110,di,9
176,11068043,Compilerbouw,H2,C0.110,di,9
177,92665222,Compilerbouw,H2,C0.110,di,9
178,98105190,Compilerbouw,H2,C0.110,di,9
179,3407554,Compilerbouw,H2,C0.110,di,9
180,79167252,Compilerbouw,H2,C0.110,di,9
181,44151631,Compilerbouw,H2,C0.110,di,9
182,34872117,Compilerbouw,H2,C0.110,di,9
183,86988337,Compilerbouw,H2,C0.110,di,9
184,58522654,Compilerbouw,H2,C0.110,di,9
185,53585410,Compilerbouw,H2,C0.110,di,9
186,11741347,Compilerbouw,H2,C0.110,di,9
187,48503689,Compilerbouw,H2,C0.110,di,9
188,51673172,Compilerbouw,H2,C0.110,di,9
189,83266686,Compilerbouw,H2,C0.110,di,9
190,15911353,Compilerbouw,H2,C0.110,di,9
191,14383795,Compilerbouw,H2,C0.110,di,9
192,10792879,Compilerbouw,H2,C0.110,di,9
193,99272880,Compilerbouw,H2,C0.110,di,9
194,81385263,Compilerbouw,H2,C0.110,di,9
195,72665524,Compilerbouw,H2,C0.110,di,9
196,76802764,Compilerbouw,H2,C0.110,di,9
197,75759231,Compilerbouw,H2,C0.110,di,9
198,71839156,Compilerbouw,H2,C0.110,di,9
199,72796858,Compilerbouw,H2,C0.110,di,9
200,51472074,Compilerbouw,H2,C0.110,di,9
201,74361881,Compilerbouw,H2,C0.110,di,9
202,82066165,Compilerbouw,H2,C0.110,di,9
203,95007221,Compilerbouw,H2,C0.110,di,9
204,43689934,Compilerbouw,H2,C0.110,di,9
205,14303208,Compilerbouw,H2,C0.110,di,9
206,25994016,Compilerbouw,H2,C0.110,di,9
207,34110913,Compilerbouw,H2,C0.110,di,9
208,31194811,Compilerbouw,H2,C0.110,di,9
209,49683101,Compilerbouw,H2,C0.110,di,9
210,89985072,Compilerbouw,H2,C0.110,di,9
211,46989508,Compilerbouw,H2,C0.110,di,9
212,27950803,Compilerbouw,H2,C0.110,di,9
213,52715680,Compilerbouw,H2,C0.110,di,9
214,53585410,Calculus 2,H1,C0.110,wo,9
