,student,vak,activiteit,zaal,dag,tijdslot
0,26406342,Compilerbouw practicum,P3,C0.110,ma,9
1,65675896,Compilerbouw practicum,P3,C0.110,ma,9
2,64418623,Compilerbouw practicum,P3,C0.110,ma,9
3,25994016,Compilerbouw practicum,P3,C0.110,ma,9
4,535689,Compilerbouw practicum,P3,C0.110,ma,9
5,55103073,Compilerbouw practicum,P3,C0.110,ma,9
6,1665980,Compilerbouw practicum,P3,C0.110,ma,9
7,4568018,Compilerbouw practicum,P3,C0.110,ma,9
8,51472074,Compilerbouw practicum,P3,C0.110,ma,9
9,82066165,Compilerbouw practicum,P3,C0.110,ma,9
10,52715680,Compilerbouw practicum,P3,C0.110,ma,9
11,11068043,Compilerbouw practicum,P3,C0.110,ma,9
12,99272880,Compilerbouw practicum,P3,C0.110,ma,9
13,66701209,Project Genetic Algorithms,P3,C0.110,di,9
14,48678993,Project Genetic Algorithms,P3,C0.110,di,9
15,34773179,Project Genetic Algorithms,P3,C0.110,di,9
16,88737765,Project Genetic Algorithms,P3,C0.110,di,9
17,37770881,Project Genetic Algorithms,P3,C0.110,di,9
18,69459473,Project Genetic Algorithms,P3,C0.110,di,9
19,41644639,Project Genetic Algorithms,P3,C0.110,di,9
20,27950803,Project Genetic Algorithms,P3,C0.110,di,9
21,76661016,Project Genetic Algorithms,P3,C0.110,di,9
22,94467156,Project Genetic Algorithms,P3,C0.110,di,9
23,99283252,Project Genetic Algorithms,P3,C0.110,di,9
24,68409833,Project Genetic Algorithms,P3,C0.110,di,9
25,15187217,Databases 2,W1,C0.110,wo,9
26,4921119,Databases 2,W1,C0.110,wo,9
27,3168419,Databases 2,W1,C0.110,wo,9
28,72456780,Databases 2,W1,C0.110,wo,9
29,51566595,Databases 2,W1,C0.110,wo,9
30,51542218,Databases 2,W1,C0.110,wo,9
31,5526560,Databases 2,W1,C0.110,wo,9
32,27123462,Databases 2,W1,C0.110,wo,9
33,54540997,Databases 2,W1,C0.110,wo,9
34,56191333,Databases 2,W1,C0.110,wo,9
35,64947290,Databases 2,W1,C0.110,wo,9
36,43902015,Databases 2,W1,C0.110,wo,9
37,26207525,Databases 2,W1,C0.110,wo,9
38,24277163,Databases 2,W1,C0.110,wo,9
39,23257088,Databases 2,W1,C0.110,wo,9
40,96054456,Databases 2,W1,C0.110,wo,9
41,13092455,Databases 2,W1,C0.110,wo,9
42,52552718,Databases 2,W1,C0.110,wo,9
43,56749879,Databases 2,W1,C0.110,wo,9
44,46989508,Databases 2,W1,C0.110,wo,9
45,39459642,Databases 2,W1,C0.110,wo,9
46,4529208,Databases 2,W1,C0.110,wo,9
47,25077484,Databases 2,W1,C0.110,wo,9
48,26406342,Databases 2,W1,C0.110,wo,9
49,29526540,Databases 2,W1,C0.110,wo,9
50,70072978,Databases 2,W1,C0.110,wo,9
51,64296965,Databases 2,W1,C0.110,wo,9
52,57467488,Databases 2,W1,C0.110,wo,9
53,86180471,Databases 2,W1,C0.110,wo,9
54,59397895,Databases 2,W1,C0.110,wo,9
55,29640619,Databases 2,W1,C0.110,wo,9
56,40141996,Databases 2,W1,C0.110,wo,9
57,58083680,Databases 2,W1,C0.110,wo,9
58,73823548,Databases 2,W1,C0.110,wo,9
59,670011,Databases 2,W1,C0.110,wo,9
60,62736669,Databases 2,W1,C0.110,wo,9
61,28358060,Webprogrammeren en databases,H1,C0.110,do,9
62,3474870,Webprogrammeren en databases,H1,C0.110,do,9
63,6249823,Webprogrammeren en databases,H1,C0.110,do,9
64,1137946,Webprogrammeren en databases,H1,C0.110,do,9
65,64228258,Webprogrammeren en databases,H1,C0.110,do,9
66,16333449,Webprogrammeren en databases,H1,C0.110,do,9
67,24891081,Webprogrammeren en databases,H1,C0.110,do,9
68,10698627,Webprogrammeren en databases,H1,C0.110,do,9
69,33877725,Webprogrammeren en databases,H1,C0.110,do,9
70,66034145,Webprogrammeren en databases,H1,C0.110,do,9
71,53512831,Webprogrammeren en databases,H1,C0.110,do,9
72,57086672,Webprogrammeren en databases,H1,C0.110,do,9
73,89180944,Webprogrammeren en databases,H1,C0.110,do,9
74,20618153,Webprogrammeren en databases,H1,C0.110,do,9
75,77392404,Webprogrammeren en databases,H1,C0.110,do,9
76,76648468,Webprogrammeren en databases,H1,C0.110,do,9
77,14847953,Webprogrammeren en databases,H1,C0.110,do,9
78,17092717,Webprogrammeren en databases,H1,C0.110,do,9
79,78243495,Webprogrammeren en databases,H1,C0.110,do,9
80,76903244,Webprogrammeren en databases,H1,C0.110,do,9
81,94930277,Webprogrammeren en databases,H1,C0.110,do,9
82,76123484,Webprogrammeren en databases,H1,C0.110,do,9
83,49908313,Webprogrammeren en databases,H1,C0.110,do,9
84,72895450,Webprogrammeren en databases,H1,C0.110,do,9
85,41790793,Webprogrammeren en databases,H1,C0.110,do,9
86,43902015,Webprogrammeren en databases,H1,C0.110,do,9
87,22288615,Webprogrammeren en databases,H1,C0.110,do,9
88,2416751,Webprogrammeren en databases,H1,C0.110,do,9
89,72577292,Webprogrammeren en databases,H1,C0.110,do,9
90,39230359,Webprogrammeren en databases,H1,C0.110,do,9
91,53202517,Webprogrammeren en databases,H1,C0.110,do,9
92,61443567,Webprogrammeren en databases,H1,C0.110,do,9
93,40434933,Webprogrammeren en databases,H1,C0.110,do,9
