,student,vak,activiteit,zaal,dag,tijdslot
0,1665980,Compilerbouw,H1,C0.110,ma,9
1,84524083,Compilerbouw,H1,C0.110,ma,9
2,79033175,Compilerbouw,H1,C0.110,ma,9
3,95007221,Compilerbouw,H1,C0.110,ma,9
4,72895450,Compilerbouw,H1,C0.110,ma,9
5,98105190,Compilerbouw,H1,C0.110,ma,9
6,75664412,Compilerbouw,H1,C0.110,ma,9
7,77896638,Compilerbouw,H1,C0.110,ma,9
8,88752563,Compilerbouw,H1,C0.110,ma,9
9,11915563,Compilerbouw,H1,C0.110,ma,9
10,43689934,Compilerbouw,H1,C0.110,ma,9
11,49683101,Compilerbouw,H1,C0.110,ma,9
12,94687383,Compilerbouw,H1,C0.110,ma,9
13,5368702,Compilerbouw,H1,C0.110,ma,9
14,12077419,Compilerbouw,H1,C0.110,ma,9
15,65675896,Compilerbouw,H1,C0.110,ma,9
16,53202517,Compilerbouw,H1,C0.110,ma,9
17,39459642,Compilerbouw,H1,C0.110,ma,9
18,92665222,Compilerbouw,H1,C0.110,ma,9
19,37770881,Compilerbouw,H1,C0.110,ma,9
20,6723948,Compilerbouw,H1,C0.110,ma,9
21,15911353,Compilerbouw,H1,C0.110,ma,9
22,58522654,Compilerbouw,H1,C0.110,ma,9
23,68315599,Compilerbouw,H1,C0.110,ma,9
24,72796858,Compilerbouw,H1,C0.110,ma,9
25,80135353,Compilerbouw,H1,C0.110,ma,9
26,89985072,Compilerbouw,H1,C0.110,ma,9
27,9067939,Compilerbouw,H1,C0.110,ma,9
28,42297781,Compilerbouw,H1,C0.110,ma,9
29,2079771,Compilerbouw,H1,C0.110,ma,9
30,5892092,Compilerbouw,H1,C0.110,ma,9
31,1695839,Compilerbouw,H1,C0.110,ma,9
32,86988337,Compilerbouw,H1,C0.110,ma,9
33,76661016,Compilerbouw,H1,C0.110,ma,9
34,34872117,Compilerbouw,H1,C0.110,ma,9
35,34110913,Compilerbouw,H1,C0.110,ma,9
36,95631564,Compilerbouw,H1,C0.110,ma,9
37,14309255,Compilerbouw,H1,C0.110,ma,9
38,99272880,Compilerbouw,H1,C0.110,ma,9
39,11741347,Compilerbouw,H1,C0.110,ma,9
40,72665524,Compilerbouw,H1,C0.110,ma,9
41,30658799,Compilerbouw,H1,C0.110,ma,9
42,88636924,Compilerbouw,H1,C0.110,ma,9
43,66701209,Compilerbouw,H1,C0.110,ma,9
44,7957843,Compilerbouw,H1,C0.110,ma,9
45,2317551,Compilerbouw,H1,C0.110,ma,9
46,64418623,Compilerbouw,H1,C0.110,ma,9
47,32204977,Compilerbouw,H1,C0.110,ma,9
48,48503689,Compilerbouw,H1,C0.110,ma,9
49,88855695,Compilerbouw,H1,C0.110,ma,9
50,535689,Compilerbouw,H1,C0.110,ma,9
51,26406342,Compilerbouw,H1,C0.110,ma,9
52,14383795,Compilerbouw,H1,C0.110,ma,9
53,57595888,Compilerbouw,H1,C0.110,ma,9
54,11459236,Compilerbouw,H1,C0.110,ma,9
55,4568018,Compilerbouw,H1,C0.110,ma,9
56,83266686,Compilerbouw,H1,C0.110,ma,9
57,76802764,Compilerbouw,H1,C0.110,ma,9
58,5085194,Compilerbouw,H1,C0.110,ma,9
59,27187154,Compilerbouw,H1,C0.110,ma,9
60,5595824,Compilerbouw,H1,C0.110,ma,9
61,48308205,Compilerbouw,H1,C0.110,ma,9
62,65960683,Compilerbouw,H1,C0.110,ma,9
63,63634350,Compilerbouw,H1,C0.110,ma,9
64,75599734,Compilerbouw,H1,C0.110,ma,9
65,82066165,Compilerbouw,H1,C0.110,ma,9
66,13911001,Compilerbouw,H1,C0.110,ma,9
67,65852230,Compilerbouw,H1,C0.110,ma,9
68,14138904,Compilerbouw,H1,C0.110,ma,9
69,52715680,Compilerbouw,H1,C0.110,ma,9
70,34243356,Compilerbouw,H1,C0.110,ma,9
71,14303208,Compilerbouw,H1,C0.110,ma,9
72,46989508,Compilerbouw,H1,C0.110,ma,9
73,24613625,Compilerbouw,H1,C0.110,ma,9
74,60312776,Compilerbouw,H1,C0.110,ma,9
75,11068043,Compilerbouw,H1,C0.110,ma,9
76,31194811,Compilerbouw,H1,C0.110,ma,9
77,44151631,Compilerbouw,H1,C0.110,ma,9
78,88596522,Compilerbouw,H1,C0.110,ma,9
79,74361881,Compilerbouw,H1,C0.110,ma,9
80,51472074,Compilerbouw,H1,C0.110,ma,9
81,13284244,Compilerbouw,H1,C0.110,ma,9
82,53585410,Compilerbouw,H1,C0.110,ma,9
83,42778953,Compilerbouw,H1,C0.110,ma,9
84,50143947,Compilerbouw,H1,C0.110,ma,9
